| 日本語
|:-------------------------------|:-------------
| abort                          | アボート
| (lockの) acquire               | 獲得
| aggregate type                 | 合成型
| alignment                      | アラインメント
| allocate                       | メモリを確保する(アロケートする)
| allocation                     | メモリを確保すること(アロケーション)
| allocator                      | アロケータ
| antipattern                    | アンチパターン
| application                    | アプリケーション
| arity                          | アリティ
| (マッチの)ar
